n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
8;16384;16384;estimate;par;11.3166;2.08309;9.23338;2.14098;2.357;2.39677;2.33862;0.00928971;1.94665e+10;
8;16384;16384;estimate;par;11.622;2.05718;9.56476;2.15268;2.81398;2.36585;2.23225;0.00933231;1.94665e+10;
8;16384;16384;estimate;par;11.9568;2.09188;9.86483;2.12973;3.05204;2.38003;2.30303;0.00933971;1.94665e+10;
8;16384;16384;estimate;par;11.2373;2.03512;9.2021;2.15964;2.39617;2.38352;2.26277;0.00937667;1.94665e+10;
8;16384;16384;estimate;par;11.5089;2.0735;9.43537;2.14644;2.34252;2.40416;2.54226;0.00953349;1.94665e+10;
8;16384;16384;estimate;par;12.0307;2.10976;9.92088;2.17803;3.04148;2.38406;2.31731;0.00937679;1.94665e+10;
8;16384;16384;estimate;par;11.6315;2.09605;9.53539;2.14112;2.49569;2.35031;2.54828;0.00948267;1.94665e+10;
8;16384;16384;estimate;par;11.2843;2.05707;9.22716;2.14321;2.48238;2.36661;2.23497;0.00929221;1.94665e+10;
8;16384;16384;estimate;par;11.2649;2.10864;9.1562;2.12833;2.40341;2.38872;2.23574;0.00928833;1.94665e+10;
8;16384;16384;estimate;par;11.5761;2.06519;9.51081;2.15301;2.64718;2.4036;2.30703;0.00936065;1.94665e+10;
8;16384;16384;estimate;par;11.7468;2.06765;9.67912;2.13539;2.50598;2.36797;2.66978;0.00935271;1.94665e+10;
16;16384;16384;estimate;par;7.47548;2.11192;5.36352;1.15687;1.35171;1.22944;1.6255;0.00949191;1.94665e+10;
16;16384;16384;estimate;par;7.43273;2.09972;5.33298;1.14334;1.30529;1.2553;1.62904;0.00984209;1.94665e+10;
16;16384;16384;estimate;par;7.55051;2.13528;5.41518;1.14559;1.3754;1.25552;1.63867;0.0101253;1.94665e+10;
16;16384;16384;estimate;par;7.48823;2.14408;5.34409;1.14572;1.32401;1.23891;1.63545;0.0100566;1.94665e+10;
16;16384;16384;estimate;par;7.47152;2.07693;5.39455;1.16426;1.35077;1.25851;1.62101;0.00993483;1.94665e+10;
16;16384;16384;estimate;par;7.51404;2.1104;5.40361;1.15827;1.35332;1.25311;1.6389;0.0101325;1.94665e+10;
16;16384;16384;estimate;par;7.42221;2.07866;5.34351;1.13873;1.33688;1.24428;1.62361;0.00978263;1.94665e+10;
16;16384;16384;estimate;par;7.46214;2.09205;5.37004;1.13477;1.35879;1.23957;1.6369;0.00986551;1.94665e+10;
16;16384;16384;estimate;par;7.48442;2.07891;5.40547;1.14507;1.37088;1.26594;1.62358;0.00966015;1.94665e+10;
16;16384;16384;estimate;par;7.51463;2.10984;5.40476;1.16862;1.3197;1.25708;1.65935;0.00986005;1.94665e+10;
16;16384;16384;estimate;par;7.49851;2.09141;5.40702;1.17031;1.31843;1.27337;1.6449;0.00962079;1.94665e+10;
